FNR,KNR,REG,TYP,HA0,LSK,STT,ITT,POS,TER,MAD,SAA
LH 2309 ,386602,DAILA ,A319,,F,16.10.2023 00:00:00,16.10.2023 00:20:00,210B,,GH  ,88
LH 2304 ,386603,DAILA ,A319,,N,16.10.2023 00:15:00,16.10.2023 00:30:00,H11B,,GH  ,49
LH 2334 ,389334,DHBPB ,EC35,MUC ,L,16.10.2023 00:20:00,,M3P ,,GH  ,49
LH 2075 ,389337,DAIDJ ,A321,,F,16.10.2023 02:30:00,16.10.2023 02:33:00,H15B,,GH  ,88
LH 2075 ,389338,DAIDJ ,A321,,N,16.10.2023 02:45:00,16.10.2023 02:43:00,M18 ,,GH  ,49
LH 2075 ,389335,DAIDJ ,A321,,F,16.10.2023 03:00:00,,M18 ,,GH  ,99
LH 2075 ,389336,DAIDJ ,A321,,N,16.10.2023 03:15:00,,M18 ,,GH  ,99
LH 2185 ,386488,DAILS ,A319,,F,16.10.2023 03:45:00,16.10.2023 03:13:00,H46B,,GH  ,88
DE  154E,386634,DAICG ,A320,,F,16.10.2023 03:55:00,16.10.2023 02:42:00,H41B,,GH  ,88
LH 2185 ,386489,DAILS ,A319,,N,16.10.2023 04:00:00,16.10.2023 03:23:00,322 ,,GH  ,49
LH 2481 ,386521,DAINZ ,A20N,,F,16.10.2023 04:00:00,,215A,,GH  ,99
DE  154E,386632,DAICG ,A320,,F,16.10.2023 04:00:00,,H41B,,GH  ,99
LH 2237 ,386516,DAIWE ,A320,,F,16.10.2023 04:05:00,,223A,,GH  ,99
DE  154E,386635,DAICG ,A320,,N,16.10.2023 04:10:00,16.10.2023 02:52:00,191 ,,GH  ,49
X3 2845 ,389344,DABKI ,B738,,F,16.10.2023 04:15:00,16.10.2023 03:50:00,118 ,,SPL ,88
LH 2481 ,386522,DAINZ ,A20N,,N,16.10.2023 04:15:00,,372A,,GH  ,99
DE  154E,386633,DAICG ,A320,,N,16.10.2023 04:15:00,,H41B,,GH  ,99
LH 2237 ,386517,DAIWE ,A320,,N,16.10.2023 04:20:00,,223B,,GH  ,99
X3 2845 ,389340,DABKI ,B738,,F,16.10.2023 04:25:00,,118 ,,SPL ,99
X3 2845 ,389345,DABKI ,B738,HAJ ,N,16.10.2023 04:30:00,16.10.2023 04:00:00,196 ,,SPL ,49
X3 2845 ,389341,DABKI ,B738,,N,16.10.2023 04:40:00,,174 ,,SPL ,99
LH 1771 ,386644,DAIUV ,A320,,F,16.10.2023 04:50:00,,325 ,,GH  ,99
LH 2185 ,386490,DAILS ,A319,,F,16.10.2023 05:00:00,,322 ,,GH  ,99
LH 1771 ,386645,DAIUV ,A320,,N,16.10.2023 05:05:00,,325 ,,GH  ,99
LH 2185 ,386491,DAILS ,A319,,N,16.10.2023 05:15:00,,322 ,,GH  ,99
SRR6118 ,358106,OYSRU ,B763,CGN ,L,16.10.2023 05:15:00,16.10.2023 05:11:00,905 ,1,GH  ,49
LH  773 ,357233,DAIXB ,A359,BKK ,L,16.10.2023 05:20:00,16.10.2023 06:07:00,222A,2,GH  ,49
LH 2221 ,386573,DAIJJ ,A20N,,F,16.10.2023 05:30:00,16.10.2023 03:58:00,H43B,,GH  ,88
LH  767 ,357231,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,GH  ,49
SK 3397 ,358019,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,SPL ,49
AC 9585 ,356839,DAIVA ,A359,BOM ,L,16.10.2023 05:35:00,16.10.2023 06:01:00,250 ,2,SPL ,49
